Product,Entity,Operation,Campaign ID,Ad Group ID,Portfolio ID,Ad ID,Keyword ID,Product Targeting ID,Campaign Name,Ad Group Name,Start Date,End Date,Targeting Type,State,Daily Budget,SKU,Ad Group Default Bid,Bid,Keyword Text,Native Language Keyword,Native Language Locale,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression,Audience ID,Shopper Cohort Percentage,Shopper Cohort Type
Sponsored Products,Campaign,Update,76939772093684,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_father_day_gifts_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,270045765660984,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_funny_gifts_for_men_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,113346758579470,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_gifts_for_dads_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,187303562006865,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTphrase_funny_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,86916261327351,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_fathers_day_gifts_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,203639387544569,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTphrase_fathers_v2_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,87175928184253,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_dad_gifts_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,18654883273583,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_funny_dad_gifts_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,218432566850335,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_dad_birthday_gift_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Update,178980863916062,,253189447671739,,,,FATHERDAY_DADJOKEJAR_SP00_KTexact_birthday_for_dad_50T_Nguyen,,,,,enabled,,,,,,,,,,,,,,,
